ID,abbr,selected,title,author,year,journal,booktitle,doi,url,pdf,eprint
Suresh2024Factify5WQA,AAAI 2024,,Overview of Factify5WQA: Fact Verification through 5W Question-Answering,Suryavardan Suresh and Anku Rani and Parth Patwa and Aishwarya Reganti and Vinija Jain and Aman Chadha and Amitava Das and Amit Sheth and Asif Ekbal,2024,,,,https://arxiv.org/abs/2410.04236,,2410.04236
Rawte2024PausePrompting,TrustNLP 25,,"“Sorry, Come Again?” Prompting - Enhancing Comprehension and Diminishing Hallucination with [PAUSE]-Injected Optimal Paraphrasing",Vipula Rawte and S. M. T. Tonmoy and S. M. Zaman and Prachi Priya and Aman Chadha and Amit P. Sheth and Amitava Das,2024,,,,https://arxiv.org/abs/2403.18976,,2403.18976
Rani2023SEPSIS,ACL 25,TRUE,SEPSIS: I Can Catch Your Lies -- A New Paradigm for Deception Detection,Anku Rani and Dwip Dalal and Shreya Gautam and Pankaj Gupta and Vinija Jain and Aman Chadha and Amit Sheth and Amitava Das,2023,,,,https://arxiv.org/abs/2312.00292,,2312.00292
Pawar2024ContextSurvey,arxiv 24,,"The What, Why, and How of Context Length Extension Techniques in Large Language Models -- A Detailed Survey",Saurav Pawar and S. M. T. Islam Tonmoy and S. M. Zaman and Vinija Jain and Aman Chadha and Amitava Das,2024,,,,https://arxiv.org/abs/2401.07872,,2401.07872
Tonmoy2024HallucinationMitigation,arxiv 24,,A Comprehensive Survey of Hallucination Mitigation Techniques in Large Language Models,S. M. T. Islam Tonmoy and S. M. Mehedi Zaman and Vinija Jain and Anku Rani and Vipula Rawte and Aman Chadha and Amitava Das,2024,,,,https://arxiv.org/abs/2401.01313,,2401.01313
Rawte2023FoundationHalluc,arxiv 24,,A Survey of Hallucination in Large Foundation Models,Vipula Rawte and Amit Sheth and Amitava Das,2023,,,,https://arxiv.org/abs/2309.05922,,2309.05922
Rawte2023PromptLinguistics,arxiv 23,,"Exploring the Relationship between LLM Hallucinations and Prompt Linguistic Nuances: Readability, Formality, and Concreteness",Vipula Rawte and Prachi Priya and S. M. T. Islam Tonmoy and S. M. Mehedi Zaman and Amit Sheth and Amitava Das,2023,,,,https://arxiv.org/abs/2309.11064,,2309.11064
Yip2023RESTORE,arxiv 23,,RESTORE: Graph Embedding Assessment Through Reconstruction,Hiu Ying Yip and Chandra Ravuru and Neeloy Banerjee and Shashwat Jha and Amit Sheth and Aman Chadha and Amitava Das,2023,,,,https://arxiv.org/abs/2308.14659,,2308.14659
Wang2024ContextLengthSurvey,arxiv 24,,Beyond the Limits: A Survey of Techniques to Extend the Context Length in Large Language Models,Xindi Wang and Mahsa Salmani and Parsa Omidi and Xiangyu Ren and Mehdi Rezagholizadeh and Armaghan Eshaghi,2024,,,,https://arxiv.org/abs/2402.02244,,2402.02244
Liu2024LVLMHallucinationSurvey,arxiv 24,,A Survey on Hallucination in Large Vision-Language Models,Hanchao Liu and Wenyuan Xue and Yifei Chen and Dapeng Chen and Xiutian Zhao and Ke Wang and Liping Hou and Rongjun Li and Wei Peng,2024,,,,https://arxiv.org/abs/2402.00253,,2402.00253
Huang2023LLMHallucinationSurvey,arxiv 23,,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",Lei Huang and Weijiang Yu and Weitao Ma and Weihong Zhong and Zhangyin Feng and Haotian Wang and Qianglong Chen and Weihua Peng and Xiaocheng Feng and Bing Qin and Ting Liu,2023,,,,https://arxiv.org/abs/2311.05232,,2311.05232
Das2025_DPODkernels,ACL 25,TRUE,"DPO Kernels: A Semantically-Aware, Kernel-Enhanced, and Divergence-Rich Paradigm for Direct Preference Optimization",Amitava Das and Sameer Trivedy and Deepansh Khanna and Rishabh Roy and Gautam Singh and Biswarup Ghosh and Yogesh Narsupalli and Vivek Jain and Vivek Sharma and Aishwarya Reganti and Aman Chadha,2025,,Proceedings of ACL 2025,,,https://arxiv.org/pdf/2501.03271.pdf,
Das2025_YinYangAlign,ACL 25,TRUE,YINYANG-ALIGN: Benchmarking Contradictory Objectives and Proposing Multi-Objective Optimization based DPO for Text-to-Image Alignment,Amitava Das and Yogesh Narsupalli and Gautam Singh and Vivek Jain and Vivek Sharma and Sameer Trivedy and Aman Chadha and Aishwarya Sheth,2025,,Proceedings of ACL 2025,,,https://arxiv.org/pdf/2502.03512.pdf,
Wijesiriwardene2025_ProportionalAnalogies,COLING 25,TRUE,Exploring the Abilities of Large Language Models to Solve Proportional Analogies via Knowledge-Enhanced Prompting,T. Wijesiriwardene and R. Wickramarachchi and S. R. Vennam and Vivek Jain and Aman Chadha and Amitava Das and Prateek Kumaraguru and Aishwarya Sheth,2025,,Proceedings of COLING 2025,,,https://aclanthology.org/2025.coling-main.268.pdf,
Dixit2025_PECCAVI,ICCV 25,,PECCAVI - Visual Paraphrase Attack Safe and Distortion-Free Image Watermarking Technique for AI-Generated Images,Siddharth Dixit and Adeel Aziz and Vivek Sharma and Aman Chadha and Aishwarya Reganti and Aishwarya Sheth and Amitava Das,2025,,ICCV 2025 (submitted),,,,
Kavathekar2024_CT2,EMNLP 24,TRUE,Counter Turing Test (CT2): Investigating AI-Generated Text Detection for Hindi,Isha Kavathekar and Anku Rani and Ananya Chamoli and Prateek Kumaraguru and Aishwarya Sheth and Amitava Das,2024,,Findings of EMNLP 2024,,,https://arxiv.org/pdf/2407.15694.pdf,
Wijesiriwardene2024_SentAnalogy,EACL 24,,On the Relationship between Sentence Analogy Identification and Sentence Structure Encoding in Large Language Models,T. Wijesiriwardene and R. Wickramarachchi and Aishwarya Reganti and Vivek Jain and Aman Chadha and Amitava Sheth and Amitava Das,2024,,EACL 2024 Findings,,,,
Rawte2023_FACTIFY3M,EMNLP 23,TRUE,FACTIFY3M: A benchmark for multimodal fact verification with explainability through 5W Question-Answering,Vipula Rawte and Amitava Das,2023,,Proceedings of EMNLP 2023,,,,
Rawte2023_HallucEmergence,EMNLP 23,TRUE,"The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations",Vipula Rawte and S. Chakraborty and A. Pathak and A. Sarkar and SMTI Tonmoy and Aman Chadha and Aishwarya Sheth and Amitava Das,2023,,Proceedings of EMNLP 2023,10.18653/v1/2023.emnlp-main.155,,https://aclanthology.org/2023.emnlp-main.155.pdf,
